,Title,Price,Discount,Released
0,Grand Theft Auto V,$29.99,,"Apr 13, 2015"
1,Rocket League®,$19.99,,"Jul 6, 2015"
2,Grand Theft Auto V: Premium Online Edition,$35.18,,
3,BeamNG.drive,$24.99,,"May 29, 2015"
4,Monster Energy Supercross - The Official Videogame 3,$49.99,,"Feb 4, 2020"
5,NASCAR Heat 4,$39.99,,"Sep 13, 2019"
6,Steep™,$29.99,7.49,"Dec 2, 2016"
7,Car Mechanic Simulator 2018,$19.99,,"Jul 28, 2017"
8,Arma 3 Ultimate Edition,$119.75,,
9,Grand Theft Auto V: Premium Online Edition & Megalodon Shark Card Bundle,$89.57,,
10,Tony Stewart's Sprint Car Racing,$29.99,,"Feb 21, 2020"
11,Car Mechanic Simulator 2018 - Platinum Edition,$64.69,,
12,NASCAR Heat 4 Gold Edition,$59.99,,
13,Automation - The Car Company Tycoon Game,$29.99,,"Mar 12, 2015"
14,Arma 3 Apex Edition,$65.40,,
15,Bloody Rally Show,$20.00,18.00,"Feb 19, 2020"
16,MudRunner - American Wilds Edition,$29.99,,"Oct 23, 2018"
17,The Crew™ 2,$59.99,,"Jun 28, 2018"
18,Mechanic Simulator Bundle,$51.97,42.47,
19,City Car Driving,$24.99,12.49,"Nov 3, 2016"
20,DCL - The Game,$29.99,,"Feb 18, 2020"
21,DiRT Bundle,$76.47,,
22,iRacing,$9.99,,"Jan 12, 2015"
23,My Summer Car,$14.99,,"Oct 24, 2016"
24,Wreckfest,$39.99,,"Jun 14, 2018"
25,Descenders,$24.99,,"May 7, 2019"
26,Wreckfest Deluxe Edition,$59.83,,
27,F1® 2019,$59.99,,"Jun 27, 2019"
28,Assetto Corsa,$19.99,,"Dec 19, 2014"
29,Assetto Corsa Competizione,$39.99,,"May 29, 2019"
30,Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,$44.97,,
31,Steep™,$29.99,7.49,"Dec 2, 2016"
32,CarX Drift Racing Online - Deluxe,$29.99,,"Dec 28, 2017"
33,Trailmakers,$24.99,,"Sep 18, 2019"
34,The Drone Racing League Simulator,$9.99,,"Nov 1, 2017"
35,Crossout - Spectral Hunter Pack,$49.99,,"May 22, 2018"
36,Mafia Triple Pack,$84.97,17.89,
37,MXGP 2019 - The Official Motocross Videogame,$49.99,,"Aug 27, 2019"
38,GRID + GRID Autosport,$49.98,26.98,
39,Car Mechanic Simulator 2018 - Ford DLC,$5.99,,"Jun 4, 2018"
40,Mafia,$14.99,10.04,"Aug 28, 2002"
41,CarX Drift Racing Online - Ultimate,$38.23,,
42,Kart Racing Pro,$39.99,,"Jul 14, 2017"
43,Hot Lava,$19.99,,"Sep 19, 2019"
44,Liftoff: FPV Drone Racing,$19.99,,"Sep 13, 2018"
45,Monster Energy Supercross - The Official Videogame 2,$39.99,,"Feb 8, 2019"
46,Pure Rock Crawling,$14.99,,"Apr 11, 2018"
47,Brick Rigs,$14.99,,"Nov 7, 2016"
48,Spintires®,$9.99,4.99,"Jun 12, 2014"
49,Crossout - No to War,$29.99,,"Feb 13, 2020"
50,rFactor 2,$31.99,,"Nov 12, 2015"
51,Wreckfest - Season Pass,$22.99,,"Sep 10, 2019"
52,Car Mechanic Simulator 2018 & Thief Simulator,$31.98,,
53,Car Mechanic Simulator 2018 - Dodge Modern DLC,$4.99,,"Dec 20, 2018"
54,Car Mechanic Simulator 2018 - Pagani DLC,$5.99,,"Apr 2, 2018"
55,CarX Drift Racing Online,$14.99,,"Nov 17, 2017"
56,Car Mechanic Simulator 2018 - Porsche DLC,$5.99,,"Oct 8, 2018"
57,Car Mechanic Simulator 2018 - Jeep DLC,$5.99,,"Oct 20, 2017"
58,Assetto Corsa Competizione - Intercontinental GT Pack,$14.99,,"Feb 4, 2020"
59,Wrench,$19.99,,"Dec 19, 2018"
60,Need For Speed: Hot Pursuit,$19.99,,"Dec 14, 2010"
61,Car Mechanic Simulator 2018 - Mercedes-Benz DLC,$6.99,,"Jan 15, 2020"
62,Car Mechanic Simulator 2018 - Plymouth DLC,$4.99,,"Dec 11, 2017"
63,Car Mechanic Simulator 2018 - Lotus DLC,$4.99,,"Mar 5, 2018"
64,NASCAR Heat 3,$19.99,,"Sep 7, 2018"
65,Car Mechanic Simulator 2018 - Dodge DLC,$4.99,,"Jul 28, 2017"
66,Castlevania Anniversary Collection,$19.99,,"May 16, 2019"
67,MX vs. ATV Reflex,$19.99,,"Nov 26, 2010"
68,Project CARS 2,$59.99,,"Sep 21, 2017"
69,KartKraft™,$19.99,,"Nov 1, 2018"
70,Atari Vault,$9.99,,"Mar 24, 2016"
71,DiRT Rally,$19.99,,"Dec 7, 2015"
72,MotoGP™19,$49.99,19.99,"Jun 6, 2019"
73,SpeedRunners,$14.99,,"Apr 19, 2016"
74,CAR TUNE: Project,$9.99,,"Feb 20, 2020"
75,Burnout Paradise: The Ultimate Box,$19.99,,"Mar 12, 2009"
76,Sleeping Dogs: Definitive Edition,$19.99,,"Oct 14, 2014"
77,Street Outlaws: The List,$19.99,,"Nov 29, 2019"
78,Car Mechanic Simulator 2018 - Mazda DLC,$4.99,,"Jul 28, 2017"
79,Autobahn Police Simulator 2,$19.99,,"Dec 7, 2017"
80,Atari Vault - 50 Game Add-On Pack,$4.99,,"Nov 26, 2019"
81,Audiosurf 2,$14.99,,"May 26, 2015"
82,MudRunner,$24.99,,"Oct 30, 2017"
83,Guts and Glory,$14.99,,"Jul 19, 2018"
84,CMS 2018 + Cooking Simulator,$39.98,28.88,
85,Car Mechanic Simulator 2018 - Bentley REMASTERED DLC,$2.99,,"Jan 29, 2018"
86,Assetto Corsa - Red Pack,$6.99,,"Jul 14, 2016"
87,F1 2015,$14.99,,"Jul 9, 2015"
88,RealFlight 9,$99.99,,"Sep 3, 2019"
89,DiRT Rally 2.0 Deluxe 2.0 (Season3+4),$11.99,,"Aug 26, 2019"
90,Trials® Rising,$24.99,,"Feb 26, 2019"
91,Need for Speed Undercover,$9.99,,"Dec 19, 2008"
92,Spintires - Chernobyl® DLC,$4.99,,"Dec 13, 2019"
93,STAR WARS™ Episode I Racer,$9.99,,"Nov 16, 2018"
94,Car Mechanic Simulator 2018 - Maserati REMASTERED DLC,$4.99,,"Mar 1, 2019"
95,Car Mechanic Simulator 2018 - RAM DLC,$4.99,,"May 10, 2019"
96,Vector 36,$24.99,15.99,"Jan 25, 2017"
97,Dino Run DX,$5.99,,"Sep 29, 2015"
98,NASCAR '15 Victory Edition,$9.99,,"May 22, 2015"
99,RAGE,$9.99,,"Oct 3, 2011"
